iteration,avg_utility_template,avg_utility_opponent,avg_nash_product,avg_social_welfare
1,0.6646571614260001,0.620506200918,0.4493007743836786,1.285163362344
2,0.653485390888,0.5882534183839999,0.42560366957648904,1.2417388092719996
3,0.7106463377029999,0.619347664724,0.5095916044014022,1.329994002427
4,0.6262309438310001,0.46210640796800007,0.370920083602011,1.088337351799
5,0.549627062774,0.40646359427,0.31219643310589446,0.956090657044
6,0.574515863245,0.5257172506769999,0.3314571093105671,1.1002331139219999
7,0.6941218364740002,0.7086518789919997,0.5196162259836332,1.4027737154659996
8,0.727298991179,0.662996840745,0.5485077200604983,1.390295831924
9,0.724683081803,0.6136855527639999,0.4973525509713934,1.3383686345669998
10,0.666791916549,0.547691441414,0.4215243970045554,1.214483357963
11,0.8300638173689998,0.8359385899020001,0.720644070821011,1.6660024072710002
12,0.8815606717519999,0.834133958987,0.7455428085282482,1.7156946307390002
13,0.7740519841829999,0.714185883031,0.6068465052214832,1.4882378672139998
14,0.6963963542739999,0.6598881970739999,0.4842507004497958,1.3562845513480002
15,0.718057899156,0.664979733305,0.5310196015525801,1.3830376324610003
16,0.716107041512,0.64535972841,0.547465819608789,1.3614667699220002
17,0.738731314255,0.624665810305,0.5508087785689915,1.3633971245600005
18,0.8961238821830002,0.9055920567970002,0.8170095414790147,1.8017159389800002
19,0.7507810404530001,0.7083695412550002,0.5649961319864857,1.4591505817079997
20,0.742890002298,0.7678621253560002,0.6094061114995661,1.510752127654
21,0.7658943756499998,0.6660886242100001,0.5632433298775594,1.4319829998600002
22,0.6564336796370002,0.528744976639,0.42172590243218233,1.1851786562759998
23,0.748110262765,0.7159728275179998,0.5843839808512271,1.4640830902830002
24,0.7011201047739999,0.7276832756039999,0.5516215580795127,1.4288033803779998
25,0.681347313824,0.691821387892,0.4788174891828057,1.3731687017160001
26,0.616122519589,0.5211414800830001,0.3677069346184736,1.1372639996720002
27,0.6479767523379999,0.613121949903,0.4422821647382004,1.261098702241
28,0.760118414045,0.6705118172099997,0.5865738699622325,1.4306302312550003
29,0.8518048493220001,0.79407438466,0.7166811451597351,1.6458792339819999
30,0.8496521450329999,0.8544949958870001,0.7694293002987992,1.70414714092
31,0.7859068269499998,0.708506726253,0.6040551258322324,1.494413553203
32,0.765211326214,0.8146840788090002,0.639877031186137,1.5798954050229996
33,0.6856305103279999,0.532744968887,0.4493739362310377,1.218375479215
34,0.8547053748060002,0.854224742624,0.733903099210161,1.7089301174300002
